Name,Location,Experience,Specialization,Image_Url,Rating,City,Description
Advocate Nandita Sharma,"Rohini Court , Delhi",12 years Experience,Property,https://www.propertyfinder.ae/images/pf_agent/picture/8324858d0ac2e11563163cfd599ab4129d54c12c/desktop,4.8,Delhi,"Advocate Nandita Sharma has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Ashvin Khillare,"District and Session Court, Mumbai",6 years Experience,Civil,https://lawrato.com/expert_images/thumb/webp/advocate-ashvin-khillare.webp,4.9,Mumbai,"Advocate Ashvin Khillare has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Shantanu Kumar,"Belapur, Mumbai",4 years Experience,Civil,https://lawrato.com/expert_images/thumb/advocate-shantanu-kumar.jpg,4.9,Mumbai,"Advocate Shantanu Kumar has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Siddhartha Shah,"Santacruz West, Mumbai",26 years Experience,Civil,https://lawrato.com/expert_images/thumb/webp/advocate-siddhartha-shah.webp,4.7,Mumbai,"Advocate Mr. Siddhartha Shah is founder partner of M/s Siddhartha Shah & Associates is a full service law firm located in Mumbai, India. The firm practices in all aspects of litigations and non-litigation matters mainly into contracts & commercial transactions.The firm specializes in advising & practices in all aspects of International Arbitration & Mediation property & construction laws, various types of commercial laws & contracts."
Advocate Riya Rele,"Santacruz West, Mumbai",14 years Experience,Civil,https://lawrato.com/expert_images/thumb/advocate-riya-rele.jpg,5.0,Mumbai,"Advocate Riya Rele has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Vikrant C Deshpande,"Malad West, Mumbai",27 years Experience,Civil,https://lawrato.com/expert_images/thumb/webp/advocate-vikrant-c-deshpande.webp,4.2,Mumbai,"Advocate Vikrant C Deshpande entered the legal field to pursue his childhood dream of becoming a lawyer and to seek justice for those who are deprived of the same because of economic, social and ignorance of law barricades.In the year 1998, he completed his law from the Mumbai University and Diploma in Personnel Management from Prin. L. N. Welingkar Institute of Management Development & Research, Mumbai- [M.S]."
Advocate Mahrukh Khan,"Bandra East, Mumbai",12 years Experience,Civil,https://lawrato.com/expert_images/thumb/advocate-mahrukh-khan.jpg,4.0,Mumbai,"Advocate Mahrukh Khan has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Sunita Bafna,"Mumbai Central, Mumbai",12 years Experience,Civil,https://lawrato.com/expert_images/thumb/webp/advocate-sunita-bafna.webp,4.7,Mumbai,"Advocate Sunita Bafna has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services.Advocate Sunita provides services in various fields of Criminal Matters, Civil Matters, Consumer Related Matters, Recovery Matters, Cheque Bounce Matters, Family Matters, Motor Accident Matter and drafting and vetting of various agreements and documents.Advocate Sunita enrolled with the Bar Council of Maharashtra and Goa in 2013. She is a member of Advocates Association of Small Causes."
Advocate Vanita Yogesh Orpe,"Borivali, Mumbai",17 years Experience,Civil,https://lawrato.com/expert_images/thumb/advocate-vanita-yogesh-orpe.jpg,5.0,Mumbai,"Advocate Vanita Yogesh Orpe has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Mohammed Zain Khan,"Sir Phirozshah Mehta Road, Mumbai",14 years Experience,Civil,https://lawrato.com/expert_images/thumb/webp/advocate-mohammed-zain-khan.webp,4.7,Mumbai,"Advocate Mohammed Zain Khan has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services.Advocate Zain provides services in various fields of civil matters, documentation matters, arbitration matters, property matters, consumer court related matters, muslim law and drafting and vetting of various agreements and documents.Advocate Zain enrolled with the Bar Council of Maharashtra and Goa in 2011. He is the member of the Bombay Council of Maharashtra & Goa."
